date,Close,Open,High,Low,Volume
2012/11/29,80.209,80.32,80.365,80.025,19.82K
2012/11/28,80.354,80.39,80.61,80.275,15.93K
2012/11/27,80.43,80.12,80.505,80.07,18.60K
2012/11/26,80.266,80.23,80.34,80.18,13.15K
2012/11/23,80.236,80.755,80.76,80.155,20.54K
2012/11/22,80.966,80.84,80.925,80.645,15.72K
2012/11/21,80.966,80.98,81.3,80.945,4.95K
2012/11/20,81,81.025,81.075,80.845,13.52K
2012/11/19,80.922,81.25,81.28,80.835,17.49K
2012/11/16,81.31,81.095,81.515,81.08,28.85K
2012/11/15,81.138,81.205,81.25,80.975,24.28K
2012/11/14,81.1,81.15,81.215,80.94,23.31K
2012/11/13,81.14,81.19,81.32,81.035,20.69K
2012/11/12,81.106,81.105,81.17,80.985,10.51K
2012/11/9,81.098,80.95,81.175,80.685,23.74K
2012/11/8,80.886,80.94,81.11,80.825,20.68K
2012/11/7,80.867,80.785,81.025,80.365,34.74K
2012/11/6,80.715,80.8,80.92,80.65,24.33K
2012/11/5,80.843,80.71,80.925,80.59,18.16K
2012/11/2,80.683,80.115,80.74,80.095,28.23K
2012/11/1,80.136,79.99,80.19,79.925,18.56K
2012/10/31,79.987,80.005,80.055,79.72,16.08K
2012/10/30,79.987,80.32,80.375,79.9,14.49K
2012/10/29,80.318,80.075,80.425,80.075,11.54K
2012/10/26,80.156,80.185,80.375,80,24.92K
2012/10/25,80.118,80.075,80.225,79.775,17.23K
2012/10/24,80.015,80.035,80.245,79.91,18.54K
2012/10/23,80.08,79.62,80.155,79.62,21.58K
2012/10/22,79.736,79.7,79.755,79.535,14.74K
2012/10/19,79.688,79.425,79.745,79.37,17.72K
2012/10/18,79.425,79.12,79.465,79.035,17.86K
2012/10/17,79.059,79.215,79.275,78.97,18.83K
2012/10/16,79.464,79.745,79.81,79.365,19.14K
2012/10/15,79.806,79.82,80.045,79.68,14.00K
2012/10/12,79.74,79.85,79.9,79.575,15.02K
2012/10/11,79.86,80.145,80.295,79.78,17.28K
2012/10/10,80.017,80.185,80.31,79.935,18.39K
2012/10/9,80.069,79.65,80.195,79.57,24.27K
2012/10/8,79.622,79.465,79.805,79.43,8.99K
2012/10/5,79.428,79.48,79.525,79.18,17.73K
2012/10/4,79.44,79.94,80.005,79.355,20.03K
2012/10/3,80.064,79.855,80.095,79.795,13.94K
2012/10/2,79.83,79.89,79.94,79.555,15.25K
2012/10/1,79.909,80.045,80.25,79.67,18.31K
2012/9/28,80.025,79.625,80.09,79.42,22.45K
2012/9/27,79.592,79.865,80.01,79.55,18.22K
2012/9/26,79.948,79.725,80.08,79.67,17.20K
2012/9/25,79.608,79.555,79.755,79.375,16.29K
2012/9/24,79.577,79.42,79.825,79.42,18.01K
2012/9/21,79.398,79.46,79.52,79.11,18.66K
2012/9/20,79.478,79.135,79.755,79.13,27.15K
2012/9/19,79.127,79.27,79.485,79.07,19.02K
2012/9/18,79.346,79.085,79.365,79.035,15.26K
2012/9/17,78.843,78.84,79.015,78.75,0.88K
2012/9/14,78.841,79.23,79.265,78.6,16.15K
2012/9/13,79.237,79.665,80.075,79.15,29.55K
2012/9/12,79.723,79.86,79.99,79.5,35.30K
2012/9/11,79.836,80.36,80.37,79.765,20.18K
2012/9/10,80.343,80.185,80.4,80.17,20.65K
2012/9/7,80.234,81.12,81.14,80.14,28.23K
2012/9/6,81.033,81.255,81.455,81.005,24.21K
2012/9/5,81.235,81.49,81.675,81.115,19.88K
2012/9/4,81.316,81.235,81.395,81.055,12.61K
2012/9/3,81.216,81.21,81.325,81.12,4.73K
2012/8/31,81.216,81.7,81.74,80.96,24.48K
2012/8/30,81.713,81.57,81.78,81.41,12.38K
2012/8/29,81.564,81.365,81.605,81.35,11.04K
2012/8/28,81.381,81.7,81.84,81.275,12.83K
2012/8/27,81.691,81.615,81.73,81.505,9.52K
2012/8/24,81.603,81.39,81.75,81.365,15.49K
2012/8/23,81.359,81.48,81.535,81.22,22.21K
2012/8/22,81.497,81.9,82.135,81.47,26.96K
